strong.past,target,target.av,weak.past,category2,listNum,status,normatively
spilt,spill,TBD,spilled,burnt,REAL,REAL,variable
smelt,smell,TBD,smelled,burnt,REAL,REAL,variable
spoilt,spoil,TBD,spoiled,burnt,REAL,REAL,variable
spelt,spell,TBD,spelled,burnt,REAL,REAL,variable
learnt,learn,TBD,learned,burnt,REAL,REAL,variable
dove,dive,TBD,dived,drove,REAL,REAL,variable
hove,heave,TBD,heaved,drove,REAL,REAL,variable
drove,drive,TBD,drived,drove,REAL,REAL,variable
wove,weave,TBD,weaved,drove,REAL,REAL,variable
throve,thrive,TBD,thrived,drove,REAL,REAL,variable
crept,creep,TBD,creeped,kept,REAL,REAL,variable
knelt,kneel,TBD,kneeled,kept,REAL,REAL,variable
leapt,leap,TBD,leaped,kept,REAL,REAL,variable
dreamt,dream,TBD,dreamed,kept,REAL,REAL,variable
leant,lean,TBD,leaned,kept,REAL,REAL,variable
stank,stink,TBD,stinked,sang,REAL,REAL,variable
sank,sink,TBD,sinked,sang,REAL,REAL,variable
shrank,shrink,TBD,shrinked,sang,REAL,REAL,variable
rang,ring,TBD,ringed,sang,REAL,REAL,variable
sprang,spring,TBD,springed,sang,REAL,REAL,variable
