strong.past,target,target.av,weak.past,category2,listNum,durationMean,durationSD,index,peerRespTypLo,peerREGTypLo,peerRespTypHi,peerREGTypHi
fam,fim,0.772277228,fimmed,sang,ONE,3.22173913,0.837427708,1,fimmed,TRUE,fimmed,TRUE
snurnt,snurn,0.757425743,snurned,burnt,ONE,3.125735294,0.747108488,2,snurned,TRUE,snurned,TRUE
chemt,cheem,0.732673267,cheemed,kept,ONE,3.174637681,0.727031797,3,cheemed,TRUE,cheemed,TRUE
skurnt,skurn,0.732673267,skurned,burnt,ONE,3.25,0.972571603,4,skurned,TRUE,skurned,TRUE
gam,gim,0.727722772,gimmed,sang,ONE,3.174637681,0.792456307,5,gimmed,TRUE,gimmed,TRUE
murnt,murn,0.722772277,murned,burnt,ONE,3.268309859,1.076344323,6,murned,TRUE,murned,TRUE
strent,streen,0.717821782,streened,kept,ONE,3.317910448,1.203520766,7,streened,TRUE,streened,TRUE
trurnt,trurn,0.717821782,trurned,burnt,ONE,3.222535211,0.895536102,8,trurned,TRUE,trurned,TRUE
prilt,prill,0.712871287,prilled,burnt,ONE,3.222535211,0.832671635,9,prilled,TRUE,prilled,TRUE
surnt,surn,0.698019802,surned,burnt,ONE,3.389285714,1.037482071,10,surned,TRUE,surned,TRUE
shrent,shreen,0.693069307,shreened,kept,ONE,3.277857143,1.040681066,11,shreened,TRUE,shreened,TRUE
slilt,slill,0.693069307,slilled,burnt,ONE,3.308208955,1.016664072,12,slilled,TRUE,slilled,TRUE
sprurnt,sprurn,0.688118812,sprurned,burnt,ONE,3.323239437,1.240847377,13,sprurned,TRUE,sprurned,TRUE
premt,preem,0.678217822,preemed,kept,ONE,3.25915493,1.003931908,14,preemed,TRUE,preemed,TRUE
squone,squine,0.678217822,squined,drove,ONE,3.27826087,0.999760201,15,squined,TRUE,squined,TRUE
dwilt,dwill,0.673267327,dwilled,burnt,ONE,3.231428571,0.925687032,16,dwilled,TRUE,dwilled,TRUE
skrurnt,skrurn,0.668316832,skrurned,burnt,ONE,3.313194444,1.296147951,17,skrurnt,FALSE,skrurned,TRUE
nent,neen,0.663366337,neened,kept,ONE,3.333571429,0.905287264,18,nent,FALSE,neened,TRUE
drelt,drell,0.653465347,drelled,burnt,ONE,3.212857143,1.037439913,19,drelt,FALSE,drelled,TRUE
snone,snine,0.643564356,snined,drove,ONE,3.147857143,0.779652269,20,snone,FALSE,snined,TRUE
spremt,spreem,0.638613861,spreemed,kept,ONE,3.342857143,1.156872524,21,spremt,FALSE,spreemed,TRUE
zelt,zell,0.638613861,zelled,burnt,ONE,3.213380282,0.92504663,22,zelt,FALSE,zelled,TRUE
schmam,schmim,0.633663366,schmimmed,sang,ONE,3.345588235,1.018586059,23,schmam,FALSE,schmimmed,TRUE
gremt,greem,0.628712871,greemed,kept,ONE,3.322222222,1.060822458,24,gremt,FALSE,greemed,TRUE
vank,vink,0.623762376,vinked,sang,ONE,3.398571429,1.281840034,25,vank,FALSE,vinked,TRUE
glone,gline,0.618811881,glined,drove,ONE,3.315942029,1.190973797,26,glone,FALSE,glined,TRUE
skrone,skrine,0.599009901,skrined,drove,ONE,3.25,1.085467382,27,skrone,FALSE,skrined,TRUE
twank,twink,0.594059406,twinked,sang,ONE,3.268571429,1.128394121,28,twank,FALSE,twinked,TRUE
skelt,skell,0.584158416,skelled,burnt,ONE,3.240714286,0.860708036,29,skelt,FALSE,skelled,TRUE
smank,smink,0.579207921,sminked,sang,ONE,3.286111111,0.918519255,30,smank,FALSE,sminked,TRUE
bove,beeve,0.574257426,beeved,drove,ONE,3.342857143,1.068836755,31,bove,FALSE,beeved,TRUE
klelt,kleel,0.554455446,kleeled,kept,ONE,3.240714286,1.075730047,32,klelt,FALSE,kleeled,TRUE
slelt,sleel,0.54950495,sleeled,kept,ONE,3.341549296,1.189927546,33,slelt,FALSE,sleeled,TRUE
quang,quing,0.52970297,quinged,sang,ONE,3.240714286,1.011179999,34,quang,FALSE,quinged,TRUE
snote,snite,0.52970297,snited,drove,ONE,3.222535211,0.902250707,35,snote,FALSE,snited,TRUE
flelt,fleel,0.524752475,fleeled,kept,ONE,3.195070423,0.812938011,36,flelt,FALSE,fleeled,TRUE
vrank,vrink,0.514851485,vrinked,sang,ONE,3.212857143,1.031520817,37,vrank,FALSE,vrank,FALSE
klode,klide,0.495049505,klided,drove,ONE,3.336029412,1.11119962,38,klode,FALSE,klode,FALSE
dwang,dwing,0.485148515,dwinged,sang,ONE,3.297101449,0.806311685,39,dwang,FALSE,dwang,FALSE
fode,fide,0.485148515,fided,drove,ONE,3.212857143,0.898254576,40,fode,FALSE,fode,FALSE
