"class","word","disc"
"DROVE","beeve","biv"
"SANG","bim","bIm"
"KEPT","bleel","blil"
"KEPT","bleem","blim"
"DROVE","blide","bl2d"
"SANG","blim","blIm"
"BURNT","blurn","bl3n"
"KEPT","breel","bril"
"KEPT","breen","brin"
"KEPT","breep","brip"
"DROVE","brive","br2v"
"BURNT","brurn","br3n"
"KEPT","cheel","Jil"
"KEPT","cheem","Jim"
"KEPT","cheen","Jin"
"DROVE","cheeve","Jiv"
"SANG","chim","JIm"
"DROVE","chite","J2t"
"KEPT","dreen","drin"
"KEPT","dreep","drip"
"BURNT","drell","drEl"
"DROVE","drite","dr2t"
"BURNT","drurn","dr3n"
"KEPT","dween","dwin"
"KEPT","dweep","dwip"
"DROVE","dweeve","dwiv"
"DROVE","dwide","dw2d"
"BURNT","dwill","dwIl"
"SANG","dwim","dwIm"
"DROVE","dwine","dw2n"
"SANG","dwing","dwIN"
"SANG","dwink","dwINk"
"DROVE","dwite","dw2t"
"KEPT","feem","fim"
"DROVE","feeve","fiv"
"DROVE","fide","f2d"
"SANG","fim","fIm"
"KEPT","fleel","flil"
"KEPT","freel","fril"
"KEPT","freen","frin"
"KEPT","freep","frip"
"SANG","frim","frIm"
"DROVE","frive","fr2v"
"KEPT","geem","gim"
"KEPT","geep","gip"
"DROVE","geeve","giv"
"SANG","gim","gIm"
"SANG","gink","gINk"
"KEPT","gleel","glil"
"BURNT","glill","glIl"
"DROVE","gline","gl2n"
"SANG","gling","glIN"
"SANG","glink","glINk"
"KEPT","greel","gril"
"KEPT","greem","grim"
"DROVE","gride","gr2d"
"SANG","gring","grIN"
"SANG","grink","grINk"
"BURNT","gurn","g3n"
"KEPT","heen","hin"
"BURNT","hurn","h3n"
"KEPT","jeel","_il"
"KEPT","jeem","_im"
"DROVE","jide","_2d"
"DROVE","jine","_2n"
"SANG","jing","_IN"
"SANG","jink","_INk"
"DROVE","jite","_2t"
"BURNT","jurn","_3n"
"KEPT","kleel","klil"
"KEPT","kleem","klim"
"KEPT","kleep","klip"
"DROVE","klide","kl2d"
"BURNT","klill","klIl"
"DROVE","klite","kl2t"
"KEPT","kreen","krin"
"SANG","kring","krIN"
"DROVE","krite","kr2t"
"BURNT","lell","lEl"
"KEPT","meem","mim"
"SANG","ming","mIN"
"BURNT","murn","m3n"
"KEPT","neem","nim"
"KEPT","neen","nin"
"SANG","ning","nIN"
"SANG","nink","nINk"
"KEPT","peem","pim"
"DROVE","pite","p2t"
"DROVE","pive","p2v"
"KEPT","pleel","plil"
"KEPT","pleen","plin"
"KEPT","pleep","plip"
"DROVE","pline","pl2n"
"KEPT","preel","pril"
"KEPT","preem","prim"
"BURNT","prill","prIl"
"SANG","pring","prIN"
"DROVE","prite","pr2t"
"BURNT","prurn","pr3n"
"KEPT","queel","kwil"
"KEPT","queep","kwip"
"DROVE","queeve","kwiv"
"DROVE","quide","kw2d"
"DROVE","quine","kw2n"
"SANG","quing","kwIN"
"SANG","quink","kwINk"
"BURNT","rurn","r3n"
"KEPT","schmeel","Smil"
"KEPT","schmeem","Smim"
"KEPT","schmeep","Smip"
"DROVE","schmeeve","Smiv"
"SANG","schmim","SmIm"
"DROVE","schmine","Sm2n"
"SANG","schming","SmIN"
"SANG","schmink","SmINk"
"DROVE","schmite","Sm2t"
"DROVE","seeve","siv"
"SANG","shing","SIN"
"KEPT","shreel","Sril"
"KEPT","shreen","Srin"
"KEPT","shreep","Srip"
"DROVE","shride","Sr2d"
